name,price,kilometers_driven,fuel_type,transmission_type,location,car_type,model,mileage
"2016 BMW 3 Series 320d",1350000,130000,Diesel,Automatic,Chennai,Sedan,2016,24
"2019 Honda City i-VTEC ZX",784000,59853,Petrol,Manual,Chennai,Sedan,2019,13
"2017 Honda City i VTEC CVT VX",665000,98302,Petrol,Automatic,Chennai,Sedan,2017,10
"2019 Honda City V MT AVN",819999,72465,Petrol,Manual,Chennai,Sedan,2019,7
"2015 Honda Amaze S Diesel",509999,69218,Diesel,Manual,Chennai,Sedan,2015,22
"2019 Honda Amaze VX CVT Petrol BSIV",629000,88057,Petrol,Automatic,Chennai,Sedan,2019,10
"2018 Maruti Ciaz Delta BSVI",725000,30417,Petrol,Manual,Chennai,Sedan,2018,24
"2018 BMW 3 Series GT Luxury Line",3600000,55000,Diesel,Automatic,Chennai,Sedan,2018,10
"2020 Maruti Ciaz Delta AT BSVI",805000,51887,Petrol,Automatic,Chennai,Sedan,2020,20
"2017 Volkswagen Vento 1.2 Highline Plus AT 16 Alloy",646000,41686,Petrol,Automatic,Chennai,Sedan,2017,16
"2019 BMW 5 Series 530d M Sport",4500000,45000,Diesel,Automatic,Chennai,Sedan,2019,14
"2010 Mercedes-Benz E-Class E250 CDI Classic",1500000,70000,Diesel,Automatic,Chennai,Sedan,2010,14
"2018 Maruti Swift Dzire VXi AT",615000,69598,Petrol,Automatic,Chennai,Sedan,2018,23
"2019 Mercedes-Benz C-Class Progressive C 220d",3200000,20000,Diesel,Automatic,Chennai,Sedan,2019,16
"2018 Honda Amaze VX i-VTEC",675000,70000,Petrol,Manual,Chennai,Sedan,2018,28
"2017 BMW 5 Series 520d Luxury Line",3950000,30000,Diesel,Automatic,Chennai,Sedan,2017,13
"2015 Honda Amaze SX i-DTEC",480000,39000,Diesel,Manual,Chennai,Sedan,2015,23
"2019 Volkswagen Vento 1.2 TSI Highline Plus AT",798000,43955,Petrol,Automatic,Chennai,Sedan,2019,21
"2009 Mercedes-Benz S-Class 320 CDI",1250000,56000,Diesel,Automatic,Chennai,Sedan,2009,28
"2019 Volkswagen Vento 1.2 TSI Highline AT",790000,63000,Petrol,Automatic,Chennai,Sedan,2019,22
"2021 Honda City ZX MT",963000,69280,Petrol,Manual,Chennai,Sedan,2021,21
"2015 Toyota Corolla Altis 1.8 VL AT",825000,85000,Petrol,Automatic,Chennai,Sedan,2015,29
"2017 Jaguar XF 2.0 Diesel Portfolio",3500000,32000,Diesel,Automatic,Chennai,Sedan,2017,26
"2017 Mercedes-Benz E-Class E 350d",2700000,99000,Diesel,Automatic,Chennai,Sedan,2017,14
"2019 BMW 7 Series 730Ld DPE",6800000,53001,Diesel,Automatic,Chennai,Sedan,2019,8
"2019 Hyundai Verna VTVT 1.6 AT SX Plus",766000,70168,Petrol,Automatic,Chennai,Sedan,2019,18
"2009 Audi A6 3.0 TFSI quattro",1200000,92000,Petrol,Automatic,Chennai,Sedan,2009,11
"2016 Volkswagen Ameo 1.5 TDI Comfortline",605000,63162,Diesel,Manual,Chennai,Sedan,2016,17
"2012 Mercedes-Benz E-Class 220 CDI",1500000,80001,Diesel,Automatic,Chennai,Sedan,2012,20
"2015 Audi A4 35 TDI Premium",1150000,115000,Diesel,Automatic,Chennai,Sedan,2015,20
"2015 BMW 7 Series 730Ld",2700000,38000,Diesel,Automatic,Chennai,Sedan,2015,9
"2022 Tata Tigor EV XZ Plus",800000,35001,Electric,Automatic,Chennai,Sedan,2022,25
"2019 Honda City i-VTEC CVT V",894999,39000,Petrol,Automatic,Chennai,Sedan,2019,20
"2017 Maruti Swift Dzire VXI 1.2",517000,75166,Petrol,Manual,Chennai,Sedan,2017,17
"2022 Maruti Swift Dzire ZXI AT BSVI",733000,27222,Petrol,Automatic,Chennai,Sedan,2022,17
"2020 Mercedes-Benz C-Class Progressive C 200",3300000,41000,Petrol,Automatic,Chennai,Sedan,2020,29
"2020 Tata Tigor 1.2 Revotron XM",424000,92454,Petrol,Manual,Chennai,Sedan,2020,11
"2021 Honda City V MT",950000,53000,Petrol,Manual,Chennai,Sedan,2021,12
"2017 Honda City ZX CVT",825000,41034,Petrol,Automatic,Chennai,Sedan,2017,22
"2020 Honda City V MT",725000,37000,Petrol,Manual,Chennai,Sedan,2020,16
"2015 Hyundai Verna 1.6 CRDi SX",645000,56000,Diesel,Manual,Chennai,Sedan,2015,31
"2015 Honda Amaze SX i VTEC",450000,77060,Petrol,Manual,Chennai,Sedan,2015,27
"2014 Honda City i VTEC CVT SV",585000,80206,Petrol,Automatic,Chennai,Sedan,2014,11
"2016 Maruti Swift Dzire VXI",488999,74570,Petrol,Manual,Chennai,Sedan,2016,16
"2019 Hyundai Verna VTVT 1.6 AT SX Option",950000,19000,Petrol,Automatic,Chennai,Sedan,2019,18
"2020 BMW 5 Series 520d Luxury Line",4500000,59000,Diesel,Automatic,Chennai,Sedan,2020,11
"2017 Honda City ZX CVT",890000,60134,Petrol,Automatic,Chennai,Sedan,2017,18
"2022 Skoda Slavia 1.5 TSI Style AT",1590000,30000,Petrol,Automatic,Chennai,Sedan,2022,25
"2015 Mercedes-Benz E-Class AMG E63 S",1700000,88000,Petrol,Automatic,Chennai,Sedan,2015,17
"2017 Honda City ZX CVT",825000,41000,Petrol,Automatic,Chennai,Sedan,2017,25
"2019 Honda City i-VTEC V",699000,68449,Petrol,Manual,Chennai,Sedan,2019,20
"2015 Honda City i VTEC V",505000,92096,Petrol,Manual,Chennai,Sedan,2015,19
"2016 Volkswagen Vento 1.2 TSI Highline AT",600000,70000,Petrol,Automatic,Chennai,Sedan,2016,28
"2019 Honda City i-VTEC CVT ZX",839000,55266,Petrol,Automatic,Chennai,Sedan,2019,27
"2015 Honda City i DTEC SV",560000,89400,Diesel,Manual,Chennai,Sedan,2015,21
"2021 Mercedes-Benz E-Class Exclusive E 220d",5450000,55000,Diesel,Automatic,Chennai,Sedan,2021,14
"2013 Renault Scala Diesel RxL",350000,110000,Diesel,Manual,Chennai,Sedan,2013,29
"2022 Honda Amaze S Diesel",750000,92162,Diesel,Manual,Chennai,Sedan,2022,20
"2015 Audi A4 35 TDI Premium",1650000,1350000,Diesel,Automatic,Chennai,Sedan,2015,31
"2014 Honda Amaze SX i VTEC",425000,60983,Petrol,Manual,Chennai,Sedan,2014,13
"2016 Volkswagen Vento 1.5 TDI Comfortline",590000,90000,Diesel,Manual,Chennai,Sedan,2016,14
"2019 Hyundai Verna VTVT 1.4 E",765000,69000,Petrol,Manual,Chennai,Sedan,2019,26
"2016 BMW 3 Series 320d M Sport",2550000,25000,Diesel,Automatic,Chennai,Sedan,2016,8
"2022 Maruti Swift Dzire VXI",649000,45000,Petrol,Manual,Chennai,Sedan,2022,29
"2019 Hyundai Verna VTVT 1.6 SX",785000,56590,Petrol,Manual,Chennai,Sedan,2019,16
"2020 Maruti Ciaz Alpha AT",840000,40000,Petrol,Automatic,Chennai,Sedan,2020,12
"2019 Hyundai Verna VTVT 1.6 AT SX Option",975000,22000,Petrol,Automatic,Chennai,Sedan,2019,31
"2021 Skoda Rapid 1.0 TSI Ambition",742000,54391,Petrol,Manual,Chennai,Sedan,2021,10
"2016 Maruti Swift Dzire VXI",455000,99951,Petrol,Manual,Chennai,Sedan,2016,28
"2014 Honda City i VTEC CVT SV",513999,77310,Petrol,Automatic,Chennai,Sedan,2014,28
"2023 Maruti Swift Dzire VXI",700000,22000,Petrol,Manual,Chennai,Sedan,2023,23
"2017 Honda City i-VTEC CVT V",649000,61403,Petrol,Automatic,Chennai,Sedan,2017,23
"2016 Honda City i VTEC V",499000,75378,Petrol,Manual,Chennai,Sedan,2016,18
"2018 Honda City i-VTEC SV",630000,78691,Petrol,Manual,Chennai,Sedan,2018,12
"2016 Honda Amaze VX AT i-Vtech",484000,34750,Petrol,Automatic,Chennai,Sedan,2016,26
"2017 Maruti Swift Dzire AMT ZDI Plus",650000,80000,Diesel,Automatic,Chennai,Sedan,2017,11
"2022 Skoda Slavia 1.0 TSI Style AT BSVI",1293000,19624,Petrol,Automatic,Chennai,Sedan,2022,21
"2016 Maruti Ciaz AT ZXi",480000,95934,Petrol,Automatic,Chennai,Sedan,2016,16
"2018 Maruti Swift Dzire AMT ZXI",584000,47618,Petrol,Automatic,Chennai,Sedan,2018,11
"2016 Honda Amaze S Petrol",475000,67924,Petrol,Manual,Chennai,Sedan,2016,24
"2018 Honda City i-VTEC CVT V",678000,72729,Petrol,Automatic,Chennai,Sedan,2018,7
"2015 Honda City i VTEC SV",474000,87877,Petrol,Manual,Chennai,Sedan,2015,30
"2020 Honda Amaze VX CVT Petrol",698000,38231,Petrol,Automatic,Chennai,Sedan,2020,21
"2023 Volkswagen Virtus GT Plus",1689999,9000,Petrol,Manual,Chennai,Sedan,2023,11
"2017 Hyundai Verna 1.4 VTVT",575000,92242,Petrol,Manual,Chennai,Sedan,2017,11
"2018 Hyundai Verna VTVT 1.6 SX",711000,62731,Petrol,Manual,Chennai,Sedan,2018,16
"2022 Toyota Camry 2.5 Hybrid BSVI",3475000,40000,Petrol,Automatic,Chennai,Sedan,2022,16
"2019 Hyundai Elantra 2.0 SX Option AT",1175000,39000,Petrol,Automatic,Chennai,Sedan,2019,26
"2018 Maruti Swift Dzire LXI 1.2 BS IV",530000,39000,Petrol,Manual,Chennai,Sedan,2018,25
"2016 BMW 3 Series GT Sport",2350000,63000,Diesel,Automatic,Chennai,Sedan,2016,16
"2017 Mercedes-Benz E-Class E 350d",3000000,98000,Diesel,Automatic,Chennai,Sedan,2017,23
"2016 Maruti Swift Dzire ZDI",594000,121510,Diesel,Manual,Chennai,Sedan,2016,11
"2016 Ford Fiesta Diesel Style",535000,128173,Diesel,Manual,Chennai,Sedan,2016,31
"2016 Honda City 1.5 V MT Exclusive",690000,50276,Petrol,Manual,Chennai,Sedan,2016,13
"2019 Honda Amaze S Petrol",565000,44712,Petrol,Manual,Chennai,Sedan,2019,16
"2014 Honda City i VTEC V",475000,132627,Petrol,Manual,Chennai,Sedan,2014,10
"2021 Mercedes-Benz E-Class Exclusive E 220d",6200000,7000,Diesel,Automatic,Chennai,Sedan,2021,20
"2020 BMW 5 Series 530d M Sport",5400000,41000,Diesel,Automatic,Chennai,Sedan,2020,12
"2015 Honda City SV MT",530000,108818,Petrol,Manual,Chennai,Sedan,2015,20
"2012 BMW 3 Series 320d",1290000,55000,Diesel,Automatic,Chennai,Sedan,2012,8
"2017 Skoda Octavia 2.0 TDI AT L K",1939999,58000,Diesel,Automatic,Chennai,Sedan,2017,21
"2022 Mercedes-Benz C-Class C 220d",5250000,2500,Diesel,Automatic,Chennai,Sedan,2022,26
"2019 Audi A3 35 TDI Premium Plus",2625000,23000,Diesel,Automatic,Chennai,Sedan,2019,9
"2015 Mercedes-Benz CLA 200 CGI Sport",1550000,42000,Petrol,Automatic,Chennai,Sedan,2015,13
"2012 Skoda Rapid 1.6 TDI Elegance",450000,100000,Diesel,Manual,Chennai,Sedan,2012,29
"2014 Honda Amaze VX Diesel",370000,121314,Diesel,Manual,Chennai,Sedan,2014,27
"2019 Honda City ZX CVT",975000,39000,Petrol,Automatic,Chennai,Sedan,2019,17
"2014 Honda Amaze S AT i-Vtech",430000,50000,Petrol,Automatic,Chennai,Sedan,2014,23
"2011 Ford Fiesta 1.4 SXI Duratorq",265000,82000,Diesel,Manual,Chennai,Sedan,2011,30
"2013 Maruti Swift Dzire LDI",475000,70717,Diesel,Manual,Chennai,Sedan,2013,25
"2014 Honda Amaze S Petrol",325000,89953,Petrol,Manual,Chennai,Sedan,2014,28
"2023 Tata Tigor XZA Plus Leatherette Pack AMT",750000,8000,Petrol,Automatic,Chennai,Sedan,2023,8
"2021 Hyundai Aura S",650000,50000,Petrol,Manual,Chennai,Sedan,2021,26
"2021 Honda Amaze VX BSVI",740000,30000,Petrol,Manual,Chennai,Sedan,2021,24
"2012 Volvo S60 D3",900000,80000,Diesel,Automatic,Chennai,Sedan,2012,12
"2022 Honda Amaze VX CVT BSVI",869999,20000,Petrol,Automatic,Chennai,Sedan,2022,30
"2012 Honda City E",500000,71000,Petrol,Manual,Chennai,Sedan,2012,10
"2022 Honda Amaze VX CVT BSVI",869999,10000,Petrol,Automatic,Chennai,Sedan,2022,26
"2014 Skoda Superb 1.8 TFSI MT",700000,100000,Petrol,Manual,Chennai,Sedan,2014,19
"2015 Ford Aspire 1.5 TDCi Trend",450000,70000,Diesel,Manual,Chennai,Sedan,2015,11
"2022 Skoda Slavia 1.5 TSI Style AT BSVI",1600000,12000,Petrol,Automatic,Chennai,Sedan,2022,16
"2021 Toyota Yaris J",800000,10000,Petrol,Manual,Chennai,Sedan,2021,16
"2014 Hyundai Verna 1.6 SX VTVT",450000,51000,Petrol,Manual,Chennai,Sedan,2014,26
"2018 Maruti Swift Dzire AMT VXI BS IV",620000,50000,Petrol,Automatic,Chennai,Sedan,2018,23
"2017 Maruti Swift Dzire AMT ZDI Plus",595000,120000,Diesel,Automatic,Chennai,Sedan,2017,7
"2022 Volkswagen Virtus Highline BSVI",1100000,40000,Petrol,Manual,Chennai,Sedan,2022,8
"2017 Honda City i-VTEC VX",800000,40000,Petrol,Manual,Chennai,Sedan,2017,15
"2019 Volkswagen Vento 1.6 Highline BSIV",950000,30000,Petrol,Manual,Chennai,Sedan,2019,19
"2015 Tata Zest Quadrajet 1.3 XMS",270000,80000,Diesel,Manual,Chennai,Sedan,2015,17
"2008 Honda City GXi",250000,80000,Petrol,Manual,Chennai,Sedan,2008,23
"2021 Audi A4 Premium Plus",2450000,60000,Petrol,Automatic,Chennai,Sedan,2021,31
"2014 Skoda Rapid 1.5 TDI Ambition",550000,70000,Diesel,Manual,Chennai,Sedan,2014,31
"2015 Maruti Swift Dzire VXI",450000,60000,Petrol,Manual,Chennai,Sedan,2015,31
"2018 Toyota Etios 1.4 GXD",650000,160000,Diesel,Manual,Chennai,Sedan,2018,7
"2011 Hyundai Verna 1.6 SX CRDi (O)",350000,150000,Diesel,Manual,Chennai,Sedan,2011,8
"2019 Mercedes-Benz CLA Urban Sport 200d",2400000,50000,Diesel,Automatic,Chennai,Sedan,2019,14
"2019 Volkswagen Vento 1.6 Highline",725000,70000,Petrol,Manual,Chennai,Sedan,2019,13
"2014 Maruti Ciaz VDi Plus",550000,80000,Diesel,Manual,Chennai,Sedan,2014,17
"2014 Hyundai Xcent 1.2 Kappa S Option",360000,70000,Petrol,Manual,Chennai,Sedan,2014,14
"2017 Chevrolet Cruze LTZ",750000,120000,Diesel,Manual,Chennai,Sedan,2017,15
"2021 Maruti Swift Dzire ZXI Plus AT BSVI",830000,70000,Petrol,Automatic,Chennai,Sedan,2021,24
"2016 Maruti Swift Dzire ZXI",500000,60000,Petrol,Manual,Chennai,Sedan,2016,18
"2015 Chevrolet Cruze LTZ",590000,80000,Diesel,Manual,Chennai,Sedan,2015,11
"2015 Audi A8 L 3.0 TDI quattro",2500000,50000,Diesel,Automatic,Chennai,Sedan,2015,21
"2022 Volkswagen Virtus GT Plus DSG BSVI",1600000,30000,Petrol,Automatic,Chennai,Sedan,2022,13
"2021 Skoda Superb Laurin & klement BSVI",3500000,60000,Petrol,Automatic,Chennai,Sedan,2021,23
"2012 Skoda Superb Ambition 2.0 TDI CR AT",500000,160000,Diesel,Automatic,Chennai,Sedan,2012,18
"2016 Hyundai Verna 1.6 VTVT SX",525000,80000,Petrol,Manual,Chennai,Sedan,2016,17
"2024 Hyundai Verna SX Opt Turbo DCT",1850000,10000,Petrol,Automatic,Chennai,Sedan,2024,23
"2020 Skoda Rapid 1.0 TSI Ambition",800000,80000,Petrol,Manual,Chennai,Sedan,2020,7
"2010 Maruti Swift Dzire VXi",260000,60000,Petrol,Manual,Chennai,Sedan,2010,11
"2015 Mercedes-Benz S-Class S 350 CDI",4000000,60000,Diesel,Automatic,Chennai,Sedan,2015,26
"2015 Mercedes-Benz S-Class S 350 CDI",4200000,60000,Diesel,Automatic,Chennai,Sedan,2015,16
"2017 Skoda Rapid 1.5 TDI Style BSIV",800000,160000,Diesel,Manual,Chennai,Sedan,2017,22
"2017 Skoda Rapid 1.5 TDI Style BSIV",720000,180000,Diesel,Manual,Chennai,Sedan,2017,31
"2014 Volkswagen Vento Diesel Comfortline",450000,80000,Diesel,Manual,Chennai,Sedan,2014,29
"2017 Volkswagen Ameo 1.2 MPI Comfortline",450000,40000,Petrol,Manual,Chennai,Sedan,2017,24
"2010 Maruti Swift Dzire VXi",250000,80000,Petrol,Manual,Chennai,Sedan,2010,26
"2009 Mercedes-Benz E-Class E350 CDI Avantgarde",700000,120000,Diesel,Automatic,Chennai,Sedan,2009,26
"2009 Mercedes-Benz E-Class E350 CDI Elegance",700000,120000,Diesel,Automatic,Chennai,Sedan,2009,19
"2011 Skoda Laura Ambiente 2.0 TDI CR AT",250000,160000,Diesel,Automatic,Chennai,Sedan,2011,10
"2017 Hyundai Verna 1.6 SX VTVT",819999,60000,Petrol,Manual,Chennai,Sedan,2017,11
"2018 Hyundai Xcent 1.2 CRDi E",400000,70000,Diesel,Manual,Chennai,Sedan,2018,20
"2013 Maruti Swift Dzire VDI",450000,70000,Diesel,Manual,Chennai,Sedan,2013,9
"2010 BMW 3 Series 320d",700000,60000,Diesel,Automatic,Chennai,Sedan,2010,30
"2009 Audi A6 2.7 TDI",990000,90000,Diesel,Automatic,Chennai,Sedan,2009,14
"2018 Honda City i-VTEC VX",650000,120000,Petrol,Manual,Chennai,Sedan,2018,27
"2012 Toyota Etios GD SP",750000,150000,Diesel,Manual,Chennai,Sedan,2012,10
"2017 Ford Aspire 1.5 TDCi Titanium",575000,60000,Diesel,Manual,Chennai,Sedan,2017,11
"2010 Ford Fiesta 1.6 SXi Duratec",189000,120000,Petrol,Manual,Chennai,Sedan,2010,18
"2018 Honda Amaze E i-VTEC",459999,50000,Petrol,Manual,Chennai,Sedan,2018,26
"2016 Honda Amaze VX i-VTEC",450000,30000,Petrol,Manual,Chennai,Sedan,2016,18
"2005 Honda New Accord VTi-L MT",85000,100000,Petrol,Manual,Chennai,Sedan,2005,7
"2023 Honda City ZX MT",1550000,20000,Petrol,Manual,Chennai,Sedan,2023,26
"2012 BMW 3 Series 320d",1500000,70000,Diesel,Automatic,Chennai,Sedan,2012,26
"2016 Hyundai Verna 1.6 VTVT S",540000,100000,Petrol,Manual,Chennai,Sedan,2016,20
"2024 Hyundai Aura S CNG",815000,40000,CNG,Manual,Chennai,Sedan,2024,18
"2020 Mercedes-Benz C-Class Progressive C 220d",3300000,60000,Diesel,Automatic,Chennai,Sedan,2020,23
"2018 Maruti Ciaz Delta Automatic BSIV",800000,30000,Petrol,Automatic,Chennai,Sedan,2018,27
"2020 Mercedes-Benz C-Class Progressive C 220d",3300000,60000,Diesel,Automatic,Chennai,Sedan,2020,11
"2018 Maruti Swift Dzire AMT ZDI",530000,120000,Diesel,Automatic,Chennai,Sedan,2018,18
"2012 Honda City S",400000,80000,Petrol,Manual,Chennai,Sedan,2012,26
"2014 Volkswagen Vento 1.5 TDI Highline",400000,80000,Diesel,Manual,Chennai,Sedan,2014,20
"2017 Ford Aspire 1.5 TDCi Titanium",420000,80000,Diesel,Manual,Chennai,Sedan,2017,14
"2018 BMW 5 Series 520d Luxury Line",3490000,47825,Diesel,Automatic,Coimbatore,Sedan,2018,29
"2021 BMW 3 Series Gran Limousine 320Ld Luxury Line",3290000,79628,Diesel,Automatic,Coimbatore,Sedan,2021,20
"2017 Audi A3 35 TDI Premium Plus",1590000,38000,Diesel,Automatic,Gurgaon,Sedan,2017,8
"2014 Audi A6 2.0 TDI",1190000,75284,Diesel,Automatic,Coimbatore,Sedan,2014,25
"2019 BMW 5 Series 520d Luxury Line",4190000,64873,Diesel,Automatic,Coimbatore,Sedan,2019,17
"2017 Jaguar XF 2.0 Diesel Portfolio",3790000,47478,Diesel,Automatic,Coimbatore,Sedan,2017,30
"2019 Skoda Superb LK 2.0 TDI AT",2690000,58321,Diesel,Automatic,Coimbatore,Sedan,2019,15
"2015 BMW 3 Series 320d Luxury Line",1590000,76318,Diesel,Automatic,Coimbatore,Sedan,2015,31
"2015 Audi A6 35 TDI Premium",1850000,70500,Diesel,Automatic,Gurgaon,Sedan,2015,29
"2019 Audi A6 45 TFSI Technology WO Matrix BSVI",3590000,58000,Petrol,Automatic,Gurgaon,Sedan,2019,18
"2016 Audi A8 L 60 TFSI Quattro",3990000,25800,Petrol,Automatic,Gurgaon,Sedan,2016,24
"2014 Audi A4 2.0 TDI Premium Plus",890000,68000,Diesel,Automatic,Gurgaon,Sedan,2014,7
"2021 Audi A6 45 TFSI Technology WO Matrix BSVI",3990000,53000,Petrol,Automatic,Gurgaon,Sedan,2021,7
"2015 Audi A3 35 TDI Technology",990000,55000,Diesel,Automatic,Gurgaon,Sedan,2015,31
"2015 Audi A6 35 TDI Technology",1480000,71000,Diesel,Automatic,Gurgaon,Sedan,2015,29
"2022 Mercedes-Benz AMG A 35 4MATIC BSVI",4690000,14950,Petrol,Automatic,Gurgaon,Sedan,2022,19
"2017 Audi A6 35 TDI",2280000,25100,Diesel,Automatic,Gurgaon,Sedan,2017,29
"2014 Mercedes-Benz C-Class C 200 CGI Avantgarde",1190000,75000,Petrol,Automatic,Gurgaon,Sedan,2014,29
"2015 Audi A4 35 TDI Technology Edition",990000,51600,Diesel,Automatic,Gurgaon,Sedan,2015,28
"2015 Audi A6 35 TDI",890000,65000,Diesel,Automatic,Gurgaon,Sedan,2015,23
"2018 Toyota Yaris VX CVT BSIV",750000,55000,Petrol,Automatic,Gurgaon,Sedan,2018,23
"2021 Audi A4 Technology",3190000,9300,Petrol,Automatic,Gurgaon,Sedan,2021,16
"2022 Tata Tigor EV XZ Plus Dual Tone",880000,30000,Electric,Automatic,Ahmedabad,Sedan,2022,27
"2024 Hyundai Aura SX CNG",780000,5498,CNG,Manual,Ahmedabad,Sedan,2024,7
"2018 Maruti Swift Dzire VXI 1.2",580000,54232,Petrol,Manual,Ahmedabad,Sedan,2018,24
"2022 Maruti Dzire VXI",664000,31960,Petrol,Manual,Ahmedabad,Sedan,2022,15
"2023 Mercedes-Benz A-Class Limousine A 200d BSVI",4200000,16000,Diesel,Automatic,Ahmedabad,Sedan,2023,21
"2017 Hyundai Xcent 1.2 VTVT S",475000,33000,Petrol,Manual,Ahmedabad,Sedan,2017,28
"2013 Honda Amaze S i-Vtech",340000,94000,Petrol,Manual,Ahmedabad,Sedan,2013,20
"2016 Honda Amaze VX AT i-Vtech",450000,57000,Petrol,Automatic,Ahmedabad,Sedan,2016,11
